iter	Passed	Remaining
0	169	84441
1	197	49210
2	207	34389
3	223	27761
4	235	23363
5	249	20544
6	263	18548
7	272	16769
8	291	15924
9	305	14970
10	319	14197
11	334	13601
12	349	13089
13	363	12611
14	372	12031
15	383	11594
16	393	11187
17	401	10747
18	418	10583
19	428	10280
20	434	9918
21	446	9698
22	454	9436
23	466	9253
24	478	9099
25	487	8882
26	498	8730
27	505	8513
28	515	8371
29	526	8241
30	534	8082
31	544	7964
32	552	7822
33	563	7725
34	573	7624
35	582	7506
36	590	7384
37	596	7251
38	602	7122
39	608	6998
40	614	6884
41	621	6781
42	628	6674
43	633	6570
44	640	6471
45	646	6377
46	652	6288
47	659	6212
48	666	6129
49	676	6085
50	683	6018
51	690	5952
52	695	5868
53	702	5802
54	708	5736
55	713	5658
56	718	5587
57	725	5526
58	731	5465
59	738	5412
60	744	5355
61	748	5291
62	772	5356
63	778	5304
64	784	5247
65	790	5199
66	797	5155
67	804	5109
68	809	5054
69	816	5017
70	880	5317
71	912	5423
72	925	5415
73	954	5495
74	966	5477
75	979	5466
76	997	5478
77	1020	5522
78	1041	5551
79	1055	5539
80	1073	5552
81	1079	5501
82	1087	5463
83	1094	5419
84	1103	5388
85	1108	5337
86	1114	5288
87	1121	5249
88	1126	5203
89	1133	5163
90	1140	5124
91	1145	5080
92	1154	5050
93	1159	5009
94	1164	4965
95	1177	4954
96	1189	4943
97	1196	4907
98	1203	4875
99	1209	4838
100	1216	4807
101	1222	4770
102	1227	4733
103	1235	4704
104	1241	4669
105	1249	4645
106	1257	4617
107	1262	4582
108	1269	4553
109	1274	4520
110	1282	4494
111	1287	4460
112	1293	4428
113	1300	4403
114	1304	4368
115	1310	4337
116	1317	4313
117	1323	4283
118	1330	4259
119	1335	4229
120	1341	4200
121	1348	4177
122	1353	4148
123	1358	4119
124	1365	4096
125	1370	4069
126	1376	4043
127	1384	4023
128	1389	3997
129	1397	3976
130	1402	3951
131	1408	3925
132	1415	3904
133	1420	3879
134	1426	3855
135	1432	3834
136	1438	3810
137	1444	3789
138	1451	3770
139	1460	3756
140	1469	3741
141	1479	3730
142	1488	3715
143	1495	3697
144	1501	3677
145	1513	3669
146	1523	3659
147	1539	3660
148	1548	3648
149	1555	3629
150	1562	3611
151	1568	3590
152	1573	3569
153	1580	3552
154	1587	3532
155	1594	3516
156	1600	3497
157	1606	3477
158	1612	3458
159	1618	3438
160	1624	3421
161	1630	3401
162	1635	3381
163	1641	3363
164	1647	3343
165	1652	3324
166	1662	3315
167	1669	3298
168	1675	3281
169	1680	3262
170	1686	3244
171	1692	3228
172	1698	3209
173	1703	3192
174	1710	3177
175	1716	3159
176	1721	3142
177	1727	3125
178	1732	3106
179	1737	3088
180	1744	3074
181	1750	3058
182	1756	3042
183	1761	3025
184	1766	3008
185	1774	2995
186	1779	2978
187	1785	2962
188	1791	2947
189	1796	2931
190	1802	2915
191	1809	2902
192	1814	2886
193	1820	2871
194	1827	2858
195	1833	2843
196	1839	2829
197	1845	2815
198	1850	2799
199	1861	2792
200	1872	2784
201	1879	2773
202	1888	2762
203	1893	2747
204	1898	2732
205	1905	2719
206	1911	2705
207	1915	2689
208	1921	2675
209	1926	2661
210	1932	2646
211	1938	2632
212	1943	2618
213	1949	2604
214	1955	2591
215	1960	2578
216	1965	2563
217	1971	2550
218	1976	2536
219	1981	2522
220	1988	2510
221	1993	2496
222	1998	2482
223	2004	2470
224	2010	2457
225	2016	2444
226	2022	2431
227	2027	2418
228	2033	2406
229	2038	2393
230	2044	2380
231	2050	2368
232	2056	2356
233	2061	2343
234	2068	2332
235	2072	2318
236	2077	2305
237	2083	2293
238	2088	2280
239	2094	2268
240	2100	2257
241	2106	2245
242	2112	2233
243	2118	2222
244	2123	2210
245	2128	2198
246	2135	2187
247	2141	2175
248	2147	2164
249	2152	2152
250	2159	2142
251	2165	2131
252	2170	2119
253	2174	2106
254	2180	2095
255	2185	2083
256	2191	2071
257	2196	2060
258	2202	2049
259	2207	2037
260	2212	2026
261	2219	2016
262	2224	2004
263	2230	1993
264	2235	1982
265	2241	1971
266	2247	1961
267	2253	1950
268	2258	1939
269	2264	1929
270	2272	1919
271	2277	1909
272	2286	1901
273	2291	1890
274	2299	1881
275	2305	1871
276	2311	1861
277	2319	1852
278	2325	1841
279	2332	1832
280	2340	1823
281	2346	1814
282	2352	1804
283	2358	1793
284	2364	1784
285	2368	1772
286	2372	1760
287	2378	1750
288	2383	1740
289	2387	1729
290	2395	1720
291	2401	1710
292	2406	1699
293	2413	1690
294	2418	1680
295	2423	1670
296	2430	1661
297	2436	1651
298	2442	1641
299	2447	1631
300	2452	1621
301	2458	1612
302	2464	1602
303	2469	1592
304	2475	1582
305	2480	1572
306	2486	1563
307	2492	1553
308	2498	1544
309	2503	1534
310	2509	1525
311	2515	1515
312	2520	1505
313	2526	1496
314	2532	1487
315	2537	1477
316	2543	1468
317	2549	1458
318	2554	1449
319	2559	1439
320	2563	1429
321	2568	1420
322	2575	1411
323	2580	1401
324	2586	1392
325	2592	1383
326	2598	1374
327	2603	1365
328	2609	1356
329	2614	1347
330	2619	1337
331	2626	1328
332	2631	1319
333	2636	1310
334	2644	1302
335	2651	1293
336	2657	1285
337	2662	1276
338	2667	1267
339	2673	1258
340	2679	1249
341	2684	1240
342	2691	1231
343	2696	1222
344	2702	1213
345	2708	1205
346	2713	1196
347	2719	1187
348	2725	1179
349	2730	1170
350	2735	1161
351	2742	1153
352	2748	1144
353	2754	1136
354	2759	1127
355	2765	1118
356	2772	1110
357	2778	1102
358	2783	1093
359	2789	1084
360	2795	1076
361	2800	1067
362	2807	1059
363	2812	1050
364	2818	1042
365	2825	1034
366	2828	1025
367	2834	1016
368	2840	1008
369	2849	1001
370	2858	993
371	2865	985
372	2876	979
373	2882	971
374	2889	963
375	2894	954
376	2898	945
377	2904	937
378	2909	928
379	2914	920
380	2921	912
381	2924	903
382	2930	895
383	2936	887
384	2941	878
385	2946	870
386	2952	862
387	2958	853
388	2963	845
389	2969	837
390	2974	829
391	2980	821
392	2986	813
393	2991	804
394	2997	796
395	3003	788
396	3009	780
397	3014	772
398	3020	764
399	3026	756
400	3032	748
401	3037	740
402	3043	732
403	3049	724
404	3054	716
405	3059	708
406	3065	700
407	3071	692
408	3076	684
409	3082	676
410	3088	668
411	3093	660
412	3100	653
413	3105	645
414	3110	637
415	3116	629
416	3121	621
417	3126	613
418	3135	606
419	3141	598
420	3147	590
421	3153	582
422	3158	574
423	3164	567
424	3169	559
425	3174	551
426	3181	543
427	3186	536
428	3191	528
429	3197	520
430	3203	512
431	3208	505
432	3214	497
433	3219	489
434	3225	481
435	3229	474
436	3235	466
437	3239	458
438	3245	450
439	3251	443
440	3256	435
441	3262	428
442	3268	420
443	3273	412
444	3281	405
445	3287	397
446	3292	390
447	3298	382
448	3304	375
449	3310	367
450	3315	360
451	3321	352
452	3327	345
453	3332	337
454	3338	330
455	3344	322
456	3349	315
457	3355	307
458	3361	300
459	3366	292
460	3372	285
461	3379	277
462	3384	270
463	3390	263
464	3397	255
465	3403	248
466	3410	240
467	3416	233
468	3421	226
469	3429	218
470	3434	211
471	3440	204
472	3445	196
473	3450	189
474	3456	181
475	3461	174
476	3467	167
477	3471	159
478	3478	152
479	3483	145
480	3489	137
481	3495	130
482	3500	123
483	3506	115
484	3511	108
485	3517	101
486	3522	94
487	3528	86
488	3533	79
489	3538	72
490	3544	64
491	3549	57
492	3555	50
493	3561	43
494	3567	36
495	3573	28
496	3578	21
497	3584	14
498	3589	7
499	3595	0
